Module,Feature,Sub-Feature,Description,Component Type,Technology / Tools,Design Approach,APIs / Endpoints,Data Stores,Dependencies,Security,Performance,Deployment
Gen AI Solution build - Discoverability solution,Context Window Builder,"Token budget, chunk assembly, source attribution","Assemble retrieved chunks into a coherent context window for the LLM prompt; manage token budget across system prompt + history + context + query; generate source citations",Processing Service,"LangChain / LlamaIndex, tiktoken (token counter), custom assembly logic","Token budget allocation: system prompt (fixed) + conversation history (dynamic) + RAG context (dynamic) + user query; fit max relevant context within model limit (128K for GPT-4o); citation format: [Source: doc_name, page X]",Internal — called by Orchestration Service,None (stateless — assembles on-the-fly),"Retrieval Service, Prompt Management Service (prompt template token budget), LLM Integration Layer (model token limits)","Context sanitization — strip PII flagged by guardrails; no cross-tenant data leakage in multi-tenant scenarios; validate chunk access_level","Assembly < 50ms for 20 chunks; pre-computed token counts per chunk to avoid re-counting","Co-deployed with Orchestration Service; stateless — no separate scaling needed"
Gen AI Solution build - Discoverability solution,Citation & Source Tracking,"Reference mapping, clickable citations, verification","Map generated LLM responses back to source documents with numbered references; enable user verification by linking citations to original document + page",Processing Module,"Python, custom citation mapper","Citation injection: numbered refs [1][2] in LLM response; post-processing maps references to (document_name, page, chunk_id); citation metadata returned alongside response","Internal — post-processing after LLM response","PostgreSQL (citation_log: response_id, citations[])","Retrieval Service (chunk-to-document mapping)","Citation links validated — no open redirect; source document access re-verified before serving","< 20ms post-processing; negligible overhead","Co-deployed with Context Assembly; always-on for RAG responses"
Gen AI Solution build - Discoverability solution,GenAI Orchestration Service,"Request routing, model selection, retry logic","Central service that routes all GenAI requests to appropriate downstream services; handles prompt routing, model selection, retry logic, and response assembly",Microservice,"Python FastAPI, LangChain / Semantic Kernel","API Gateway pattern; single entry point for all AI calls; routes based on request type (chat, complete, summarize, search); circuit breaker with exponential backoff; fallback responses for degraded mode","POST /api/genai/complete; POST /api/genai/chat; POST /api/genai/summarize; POST /api/genai/search",None (stateless router),"LLM Integration Layer, Prompt Management, Retrieval Service, Conversation Management, Guardrails","JWT-based authentication; API key management via Azure Key Vault; rate limiting per user/tenant; input validation; error responses sanitized","Async processing with asyncio; connection pooling; horizontal scaling; target latency < 200ms (excluding LLM); circuit breaker: 5 failures → open 30s","Kubernetes (AKS); containerized (Docker); auto-scaling on request volume; blue-green deployment"
Gen AI Solution build - Discoverability solution,LLM Integration Layer,"Provider abstraction, model config, fallback","Abstraction layer over LLM providers (Azure OpenAI, OpenAI, Anthropic); unified interface for generate/embed/stream; dynamic model selection with automatic fallback",SDK / Library,"Azure OpenAI SDK, OpenAI Python SDK, LangChain LLM wrappers","Strategy pattern; unified interface with provider-specific implementations; chain of responsibility for fallback (primary → secondary → degraded); model params (temperature, max_tokens) configurable per feature","Internal SDK — llm_client.generate(), llm_client.embed(), llm_client.stream(); GET /api/genai/config/models (admin)","Azure App Configuration (model configs, feature-model mapping)","Azure OpenAI endpoint / chosen LLM provider","API keys in Azure Key Vault; Private Endpoints for network isolation; key rotation every 90 days; admin-only model config changes","Connection pooling; streaming for long generations; token budget management; failover < 2s; model health checks every 60s","Co-deployed with Orchestration Service as shared library; config-driven model selection"
Gen AI Solution build - Discoverability solution,Prompt Management,"Template versioning, variable substitution, A/B testing","Manage, version, and serve prompt templates; Jinja2-based variable substitution; A/B testing of prompt variants with traffic splitting and quality metric tracking","Microservice + Feature Module","Python FastAPI, Jinja2, PostgreSQL, custom A/B framework","Template engine with variable substitution ({{user_query}}, {{context}}, {{system_instructions}}); version control + rollback; A/B traffic splitting (50/50, 90/10) with auto-promote on confidence threshold","GET /api/genai/prompts/{feature}; PUT /api/genai/prompts/{feature}; POST /api/genai/prompts/{feature}/experiment; GET /api/genai/prompts/{feature}/versions","PostgreSQL (prompt_templates: template_id, feature, version, content, variables, is_active; experiments: experiment_id, variants[], traffic_split, metrics)","GenAI Orchestration Service (consumer), Feedback Service (A/B metrics)","Role-based access: read (all services), write (prompt engineers + admins); audit logging; template content validated for injection patterns","Template retrieval < 10ms (Redis-cached); cache invalidation on update; experiment variant selection O(1) hash-based","Kubernetes; PostgreSQL on Azure Database; Redis cache; migrations via Alembic"
Gen AI Solution build - Discoverability solution,Conversation Management,"Multi-turn history, session persistence, context optimization","Manage multi-turn conversation history; sliding window context with LLM-based summarization of older turns; session persistence via Redis (active) + PostgreSQL (archive)",Microservice,"Python FastAPI, Redis, PostgreSQL, tiktoken","Sliding window: keep last N turns verbatim + summarize older turns; session TTL 30 min; token budget allocation for history vs. RAG context; GDPR-compliant delete support","POST /api/genai/conversations; GET /api/genai/conversations/{id}/history; DELETE /api/genai/conversations/{id}","Redis (active sessions: conversation_id → messages[], ttl=30min), PostgreSQL (conversation_archive: id, user_id, messages_json, timestamps)","GenAI Orchestration Service, LLM Integration Layer (for summarization)","Session isolation per user (Redis key prefix); data encrypted at rest (AES-256) and in transit; retention: 90 days then auto-purge; GDPR delete","Redis < 5ms read/write; PostgreSQL archive < 50ms write; up to 10K concurrent sessions; summarization async < 2s","Redis Cluster (Azure Cache Premium); PostgreSQL (Azure Database); Kubernetes for service layer"
Gen AI Solution build - Discoverability solution,AI Safety — Input Guard,"Prompt injection, PII masking, topic filtering","Pre-processing pipeline applied before all LLM calls: prompt injection detection, PII scanning & masking (via Presidio), content safety check, topic restriction, input length validation",Middleware,"Azure Content Safety API, Presidio (PII detection), custom regex, Guardrails AI","Pipeline: Input → [Length Check] → [Injection Detector] → [PII Scanner & Masker] → [Topic Classifier] → [Content Safety] → Approved/Blocked; each stage can block or transform",Internal middleware — auto-applied before all LLM calls,"PostgreSQL (blocked_requests_log: request_id, reason, timestamp, user_id)","GenAI Orchestration Service, Azure Content Safety API, Presidio NER models","All blocked inputs logged with reason (PII masked in logs); alerts on injection patterns; configurable blocklist/allowlist per feature","< 100ms total; PII detection < 50ms; Content Safety < 100ms (parallel); short-circuit on first block","Co-deployed as middleware in Orchestration Service; Presidio models loaded at startup; Content Safety via Azure managed service"
Gen AI Solution build - Discoverability solution,AI Safety — Output Guard,"Hallucination check, PII scrub, content policy","Post-processing pipeline after all LLM responses: content policy check, PII scrubbing, factual grounding check (compare response vs. RAG sources), hallucination flagging",Middleware,"Azure Content Safety API, custom hallucination checker, Presidio, Guardrails AI","Pipeline: LLM Output → [Content Policy] → [PII Scrubber] → [Grounding Check (cosine similarity vs. source chunks)] → Approved/Flagged; flagged responses replaced with safe fallback",Internal middleware — auto-applied after all LLM responses,"PostgreSQL (flagged_responses_log: response_id, flags[], grounding_score, action_taken)","LLM Integration Layer (output), RAG Context Assembly (source chunks for grounding)","All flagged outputs logged for review; grounding scores tracked; PII scrubbing applied even if Input Guard missed","< 150ms total; grounding check < 100ms; Content Safety < 100ms (parallel)","Co-deployed as middleware in Orchestration Service; grounding check needs RAG source chunks in pipeline context"
Gen AI Solution build - Discoverability solution,AI Safety — Policy Configuration,"Content rules, thresholds, entity config","Configurable safety policies per feature/tenant: content categories, severity thresholds, PII entity types to mask, custom blocklists; hot-reloadable without restart",Configuration,"Python, YAML/JSON policy files, PostgreSQL","Policy-as-config; YAML-defined → loaded at startup → hot-reloadable via admin API; per-feature overrides (stricter PII rules for HR chatbot vs. general search)","GET /api/genai/safety/policies; PUT /api/genai/safety/policies/{feature} (admin)","PostgreSQL (safety_policies: feature, content_categories[], severity_thresholds, pii_entities[], custom_blocklist[])","Admin authorization, Orchestration Service","Admin-only write access; policy changes audited; validation before activation","Policy lookup < 5ms (in-memory cache); hot-reload < 1s","Policies in PostgreSQL; cached in-memory; admin API for updates"
Gen AI Solution build - Discoverability solution,Semantic Caching,"Exact match + similarity cache, TTL management","Two-tier caching: Tier 1 — exact match (hash of prompt + params); Tier 2 — semantic similarity (cosine > 0.95 on query embeddings); reduces LLM API cost and latency",Service Layer,"Redis, GPTCache / custom semantic cache, embedding similarity","Exact hash cache + semantic vector cache in Redis; TTL configurable per feature (default 1 hour); event-driven invalidation on document update, prompt change, or model upgrade","Internal — transparent in Orchestration Service; GET /api/genai/cache/stats (admin); POST /api/genai/cache/invalidate (admin)","Redis Cluster (cache entries: cache_key, response, embedding, ttl, hit_count)","Embedding Service (for semantic key), Orchestration Service, Document Ingestion (invalidation events), Prompt Management (invalidation events)","No PII in cache keys; entries inherit access level of original request; cache poisoning prevention via input validation","Exact match < 1ms; semantic match < 20ms; target hit ratio > 30%; estimated 40% LLM cost reduction","Azure Cache for Redis (Premium with vector search); cache warming on deployment; LRU eviction with TTL"
Gen AI Solution build - Discoverability solution,Telemetry & Structured Logging,"Request logging, token tracking, distributed tracing","Structured logging for every GenAI request: request_id, model, tokens_in/out, latency_ms, status, cache_hit, feature; distributed tracing via OpenTelemetry across all services",Service Layer,"Application Insights / OpenTelemetry, Prometheus, Python structured logging (JSON formatter)","Auto-instrumented via shared middleware; every request → structured log entry; distributed tracing spans across all GenAI services; sampling: 100% for errors, 10% for success in high-traffic",Internal telemetry hooks — auto-instrumented,"Application Insights (log sink), Azure Log Analytics (query/alerting), Prometheus (metrics scraping)","All GenAI services (instrumented via shared middleware)","No PII in logs/metrics; request/response content NOT logged; log retention 90 days; access restricted to ops team","Logging overhead < 5ms per request; async log shipping","OpenTelemetry Collector as sidecar; Application Insights via Azure SDK; Prometheus node exporter per pod"
Gen AI Solution build - Discoverability solution,Dashboards & Alerting,"Usage, cost, quality, health dashboards","Real-time dashboards: (1) Usage — requests/day, tokens consumed; (2) Performance — latency P50/P95/P99, error rate, cache hit; (3) Quality — grounding scores, hallucination flags; (4) Cost — daily/monthly LLM spend by feature/model",Dashboard,"Grafana / Azure Dashboards, Azure Monitor Alerts, PagerDuty","Pre-built dashboard suite; 1-minute refresh; alert rules for anomalies (error rate > 5%, latency P95 > 10s, budget > 80%); PagerDuty integration for P1 alerts","GET /api/genai/metrics (admin); GET /api/genai/metrics/cost (admin)","Azure Monitor (metrics), Grafana (dashboard definitions)","Telemetry & Logging (data source), all GenAI services","Dashboard access restricted to admin/ops; cost data to finance + admin; no PII in dashboards","Dashboard refresh 1-min; alert evaluation every 5 min; historical data up to 90 days","Azure Monitor + Grafana on AKS; alert rules in Terraform; PagerDuty webhook for P1"
Gen AI Solution build - Discoverability solution,Cost Management,"Token cost tracking, budgets, optimization","Track LLM API costs per request; aggregate by feature/model/team/day; budget alerts at 80/90/100% thresholds; optimization recommendations (cheaper model for low-complexity tasks)",Management Module,"Python, Azure Cost Management API, custom cost calculator","Token-based calculation: (tokens_in × input_price + tokens_out × output_price); budget enforcement per feature/team; cost optimization: route low-complexity to GPT-3.5-turbo, high to GPT-4o","GET /api/genai/cost/summary; GET /api/genai/cost/breakdown; POST /api/genai/cost/budget (admin)","PostgreSQL (cost_tracking: date, feature, model, tokens_in, tokens_out, estimated_cost)","Telemetry (token usage), LLM Integration Layer (pricing config)","Cost data restricted to admin + finance; no user-level cost attribution","Batch aggregation every 15 min; budget check per request < 1ms (cached threshold)","Scheduled aggregation job; alerts via Azure Monitor; budget configs in PostgreSQL"
Gen AI Solution build - Discoverability solution,User Feedback Collection,"Thumbs up/down, ratings, corrections","Collect user feedback (thumbs up/down, 1-5 star rating, free-text corrections) per GenAI response; link to response_id for quality tracking and prompt tuning",Microservice,"Python FastAPI, PostgreSQL, Azure Event Hub","Event-driven: user action → feedback event → stored with response_id linkage; daily aggregation for quality scoring; real-time streaming to Event Hub for live dashboards","POST /api/genai/feedback; GET /api/genai/feedback/summary/{feature} (admin); GET /api/genai/feedback/export (admin)","PostgreSQL (feedback: feedback_id, response_id, user_id, rating, correction_text, created_at), Azure Event Hub (streaming)","Orchestration Service (response_id linkage), Conversation Management","Feedback anonymized (user_id hashed); corrections screened for PII; GDPR delete support; admin-only analytics access","Submission < 50ms; daily aggregation < 5 min for 100K records; real-time stream to Event Hub","Kubernetes; PostgreSQL; Event Hub; daily aggregation via Azure Functions"
Gen AI Solution build - Discoverability solution,Quality Analytics & Prompt Tuning,"Satisfaction metrics, prompt optimization, A/B results","Aggregate feedback to identify underperforming prompts; quality scoring (satisfaction rate, correction rate, hallucination rate); feed A/B test results; generate prompt improvement recommendations",Analytics Module,"Python, Pandas, Azure Synapse, Grafana","Daily aggregation: feedback by feature/prompt → quality scores → low-quality alerts → prompt tuning recommendations; A/B experiment results pipeline feeds quality dashboard","GET /api/genai/feedback/analytics (admin); GET /api/genai/feedback/quality-score/{feature}","Azure Synapse (quality_metrics: feature, prompt_version, satisfaction_rate, correction_rate, hallucination_rate, sample_size)","Feedback Collection (raw data), Prompt Management (versions), Monitoring (grounding scores)","Analytics restricted to data science + admin; no individual user data; aggregated only","Daily batch; scores updated overnight; dashboard refresh 24h; ad-hoc queries < 30s","Azure Synapse warehouse; Azure Data Factory pipeline; Grafana quality dashboard"
