Analytics User Interview  Experimentation Report Dicoverability (ERD)-20260513_093202-Meeting Recording
Sowmiya S   17:18Mhm.Mhm.
Prateek Oberoi   17:22AOV this or run around this and they may not know anything about the test. They may not even know the name of the test.
Sowmiya S   17:29Okay.
Prateek Oberoi   17:29So if they come and search here and say, did we do this test of our Old Navy?In the past five years, that's it. Like minimal wordings without any details because definitely we can go in and add in more details, but I'm just thinking more from a perspective of customer, or sorry, a user who is outside our team. They may not have all the details.
Sowmiya S   17:39Go ahead.Mhm.
Prateek Oberoi   18:00And imagine if they're completely new to the company. They may not even know how to start. So I think some helpers, as you click on the search bar, will be helpful. Like, for example, if you click on it and then it says some random recommendations, like, give me winners from past five years.
Sowmiya S   18:05Mhm.Yeah, OK.Yeah.
Prateek Oberoi   18:20or give me all old Navy tests that ran on product page, give me all tests that ran on category page. Something like that, like some helpers to help them initiate the search. And once they start doing it, then they may know like, okay, what exactly they need. And then they can start using keywords.
Sowmiya S   18:20Mm.Thanks.Mhm.Okay.
Prateek Oberoi   18:41And I think that behavior will be a learning curve for us too, because we didn't have anything existing so far yet. So we also are excited to learn like what exactly customers search for, or sorry, keep saying customers, but people or colleagues search for when they use these tools and how they.
Sowmiya S   18:41I.Yeah.Okay.
Prateek Oberoi   19:00Use these tools.
Sowmiya S   19:01Understood, so while you know you search and you get these cards or basically the test results, right? So if you are about to focus on certain numbers as it's displayed over here, which is which you feel like should be highlighted in a way, OK, I'll it will prompt me.To go and see that particular experiment, and you know, take some ideas so that I can go back to the PM and you know, again, do the brainstorming.
Prateek Oberoi   19:33I think what you have is great. I think you are highlighting all the primary metrics, which I think will definitely be helpful.
Sowmiya S   19:35Mhm.Okay.Mhm.
Prateek Oberoi   19:44I think one more thing that might help them is the recommendation.
Sowmiya S   19:47Okay.Go ahead.
Prateek Oberoi   19:54Like this test has handed these were the findings. What was the recommendation or?
Sowmiya S   19:54Understood.Yeah.
Prateek Oberoi   20:01Like, maybe like...Not recommendation or I mean recommendation slash learning, which means like.
Sowmiya S   20:09Okay, okay.
Prateek Oberoi   20:10What was the high-level learning from this test?
Sowmiya S   20:13Songs.
Prateek Oberoi   20:14Like in just like a line or two.
Sowmiya S   20:17Understood, OK.
Prateek Oberoi   20:19so they can get like a glimpse of.what happened in the test without having to open it or get into the details. And if they want to, there will always be an option for them to get into the details.
Sowmiya S   20:23Mhm.
Nilim Borah   20:31Radhika, just one question here. So this learning should be very contextual, right? Like you said, because the, like I said, the detail landscape keeps on moving, right? Those things will be directly applicable to those learnings or if not.
Sowmiya S   20:32Thanks.
Athul Babu   20:32But...
Prateek Oberoi   20:45Yeah, yeah, absolutely. It will be helpful because it is for that particular test that ran during that particular time. Now, what's going to happen in future? We don't predict. We cannot predict. And if they want to learn and see if the learning changed, then we have to run another test. And the new learnings will be on that new test.
Nilim Borah   20:48Okay, yeah.Mhm.Okay.
Prateek Oberoi   21:05product card, not on the old ones.So these learnings will be by test. So in this card that we are seeing by test, if we can just add like a high level learning, just like a one or two liner, that this is what we learn and these were the critical findings, thanks. That's it.
Nilim Borah   21:22Okay.
Kaushik B   21:27Okay.
Nilim Borah   21:27Okay.
Prateek Oberoi   21:27so that they can quickly, if we want to like quickly see like what were the learnings, we can just read those two lines and share it with the teams that ask.
Kaushik B   21:37Got it.
Athul Babu   21:37Praveena, I don't know if you have used Glean, usually at the end of the search result. At the top, you will have like a summary of all these results that you found together as well. I think that's something that will be helpful for you, right?Instead of all these cards, just a summary at the top of all the learnings that you find from the search result.
Prateek Oberoi   21:58Again, if that search is done incorrectly, that means the learnings will be reflected incorrectly.
Athul Babu   22:02Ah.Okay.
Prateek Oberoi   22:06Because when customers are searching, like I said, if they are outside our team, they may not know what exactly to search for and they will do random searches. So I just don't want them to make any decision based on.
Kaushik B   22:06Think at all.
Prateek Oberoi   22:19the learning from all the search results because it may not have all the correct tests that they actually came to look for.
Kaushik B   22:21Bye.
Sowmiya S   22:26I miss.
Kaushik B   22:27So, the the it will depend on the quality of the search or the user input rather than, so you prefer that it it be kept at the experiment level only, right? Learning, so that it, yeah, sure, noted.
Prateek Oberoi   22:31Exactly, exactly, exactly right.I think so, yes, because if your search is done incorrectly, that means the learnings that you're going to get on top will be incorrect.
Kaushik B   22:46And it might.
Nilim Borah   22:47Combination of two experiments as well, right? That's what the learnings are there.
Kaushik B   22:50Yeah, no, that is that is the point, Nilim, that if you search wrongly, you might get a mix of experiments that you didn't intend for. Therefore, the learnings also will be not something you're looking for. So, I think that's the entire thought process, but sure, okay, I think that's correct. So, I think, sorry, Sowmiya, we just have like 5 minutes left, so...
Sowmiya S   23:09Yeah, yeah, yeah, so that is, so when you know you create that conference page, right?
Kaushik B   23:10Let's.
Prateek Oberoi   23:19Mhm.
Sowmiya S   23:19Has there been any kind of error fails? Like, okay, for this particular section, I'll spend most of it. I do feel that this part is somewhere, most of the time it is getting messed and actually no one reads about it or...Is there any area like say, for example, you did mention that you're sending this, you know, complaints page to the PMs, the BMs and the leadership. So do you think that we could bucket the output in a way OK for PMs, this level of information or the?We are going to segregate and then send it out to them. Are there any ways that we are doing it right now?
Prateek Oberoi   24:03So.Ohh.I mean, to broadly answer your question, yes, because that's how, I mean, we give everything from our end, but then let user decide what they need. Because for us, it's not like a one-to-one connection, like we are creating a confluence page and only PDMs are reading.
Sowmiya S   24:09Mhm.Okay.Mhm.
Prateek Oberoi   24:28We are creating a confluence page and only a particular brand person is reading. Because when we create a confluence page, then it's get distributed or passed on to multiple partners.
Sowmiya S   24:28Okay.Mhm.OK.
Prateek Oberoi   24:39And, like you said...that's 100% possible that some of them just want to read a high-level summary.
Sowmiya S   24:46Yeah.
Prateek Oberoi   24:47And some of them may also want to read in detail like what exactly is happening. So I am, I have examples of partners who would love to read in details, but there are also partners who just go with the summary and don't even like read the details. But in the conference we have both. Like you will see summary on top as well as details at the bottom.
Sowmiya S   24:53Okay.Okay.Shivam.So, in that case, you know, if, if say, for example, the PDM fields like, okay, it's too long to read, why don't I just go and ask, you know, the analytics, the senior analyst who has made this, but the question that they're asking, the answer is already there in the complaints page.But somehow they skipped, you know, to get an understanding of it and they come back to you again.
Athul Babu   25:30Well, maybe Sowmiya we park that for the PM so we know what is relevant for them during the search.
Prateek Oberoi   25:36Yeah, yeah.
Sowmiya S   25:36Okay.
Athul Babu   25:37Yeah, let's go to the next one.
Sowmiya S   25:39Got it, so the last part I just want to cover is the the AI bot, as you could see it over here.Yeah.Okay, let me just skip this part. So, Kritik, I just wanted to understand if there could be any three to five, you know, most common questions that the user will be asking the bot. So, that can be, you know, given as a predefined prompt when the user is going to have this interaction with the bot.Maybe putting it in like categories or any other way which makes them to have the conversation with a bird and much more easier way to.
Prateek Oberoi   26:27Yes, I think when we enter data in now the SharePoint that Aditya helped us to create previously, we have.
Sowmiya S   26:27When, yeah.Mm-hmm.Okay.
Prateek Oberoi   26:43Multiple columns there.
Sowmiya S   26:46Mmh.
Prateek Oberoi   26:47And we have all the information about that test, whether it's like a digital test or it's a store test, which section of the site the test is running on, like if it's on a product page, category search, shopping bag, or checkout. We have broken it down by.app, mobile, or desktop, or both, like device level.
Sowmiya S   27:14Okay.
Prateek Oberoi   27:14So...I think starting with that will be helpful. Let's say if there is a...PDM who's coming and they want to look at all the product, all the tests that we did on the product page in the last 12 months, then they can like you have 10 in test experiments, they can just do like product page experiment and it gives them a summary.
Sowmiya S   27:24Mhm.Okay.Mm.Thank you.Okay.
Prateek Oberoi   27:38Like these menu were run, these were the total lift we saw, this was the drop.These were the tests that were the highest winners or except like however you want to create that summary.
Sowmiya S   27:48Mm.Connect.
Prateek Oberoi   27:53So I think by site section will be helpful because that's how our PDMs are working in today's world. They have different sections on the site and they are interested in learning about their section. Similarly, we have PDMs by device too, like some are focusing more on app.
Sowmiya S   28:06KS.
Prateek Oberoi   28:11versus on web. So they would like to see it broken down by their preferred device, which is, let's say, if you want to look at app, then you can get to somebody of all the app tests. So we do have those breaks in the data that we input.Or.put it in the SharePoint.
Sowmiya S   28:31Yeah.
Prateek Oberoi   28:33And maybe that would be a good.
Athul Babu   28:33But, Padaki, what about you? What is, if the AI is supposed to give you an answer, what is more important to you?
Prateek Oberoi   28:43When you say answer in terms of what? Like how?
Athul Babu   28:47If you're, yeah, if you're searching for an experiment from the past or summarizing something using the AI, what is important for you, like...
Prateek Oberoi   28:51Mhm.Um...I think just giving like if we have done that test in the past, yes or no, for which brand we did it, what were the findings, and if there was any lift Ops.
Athul Babu   29:13Okay.
Prateek Oberoi   29:14And this is, I'm giving an example, let's say I'm looking for a very specific test, and yes, this. But let's say if multiple tests were done in the past, then a combined summary will be helpful that we did this test multiple times, the findings were consistent, or the findings were different every time we did it, something like that.
Athul Babu   29:36Okay.
Nilim Borah   29:38A Padaki, I mean this might also depend on, let's say, what stage.
Sowmiya S   29:42Yeah.
Nilim Borah   29:43I mean, a product manager isn't creating the experiment, right? Let's say if it's the very first time it's let's say it's completely exploratory, he might be trying to look at different answers, right? And let's say all is contrasting, right? So I think that's something also needs to be figured out here, yeah.
Prateek Oberoi   29:51Hundred percent.100%. And I think that would be best answered by them, like how they prefer and which stage they prefer to use it. Because like I said, this tool hasn't existed in the past and they have been just reaching out to us and we have been helping them with their queries. But let's say if they have access to this tool, it's very much possible that.
Nilim Borah   30:02Okay.Singh.Mhm.
Prateek Oberoi   30:16they might use it more and every stage as compared to now, because now they have to like ping us to ask us. And sometimes we reply right away and sometimes we take time to reply to them. So they might be thinking they can just move forward with what information they have. But let's say if they have access to this tool with all the information available.
Nilim Borah   30:20Mhm.
Prateek Oberoi   30:37Then it might.just trigger more usage of it and more questions from it versus what they're asking right now.
Nilim Borah   30:41Singh.Okay.Okay.Okay.
Sowmiya S   30:53So, I guess, so that's all I had for today, Pratik. Like, you would like to...
Kaushik B   31:01Uh, did we cover all the questions, uh, Sanjeet Padaki? Do you have like one or two ways to extend? Just taking the liquidity here.
Sowmiya S   31:03Yeah, yeah, yeah.Yeah, I guess, yeah.
Kaushik B   31:09Okay, Sowmiya, like we have covered everything, right? Okay, sure. Like, I think one thing, I don't know if we discussed this, but like, like, Pratik, is this a problem that's faced generally within Gap and like, just also a follow-up question on the maturity and like the acceptance of AI, right, within the, like, whenever such apps have been released before?Like we are thinking from our end, like just to improve the trust. I think in this case it's simpler because it's just limited scope it's referring to. We can give the link of the conference page itself below that if you have any, go and see that. But do you see the need to for any other reinforcements with regards to to improve the trust or like do you see that as a common trend within your org where you?Feel like adoption will be a problem among the group, given the distrust or, you know, like...
Prateek Oberoi   31:58I think that's very much dependent on the response we get back from the tool, because if...
Kaushik B   31:58Okay.
Prateek Oberoi   32:05If, let's say, the response is very mixed and they're not able to understand it, or it's a lot of words which they don't have time to read it, then they might think it's too much information for them to absorb, or...
Kaushik B   32:10Yeah.
Prateek Oberoi   32:21Something is very different versus what they had thought of, and that might lead.them to think that maybe this tool is still learning and is not or is not fully optimized and is not giving them and it's not giving them the answer that they might be looking for. So I think again it depends on the type of response that they get.
Kaushik B   32:32Mm.
Prateek Oberoi   32:45If it's exactly what...they like to see, then 100% they're going to like it. But if it's different, then it's going to generate more questions for them and then they will start thinking, should I be using this tool more in future or should I just go and ask the person?
Kaushik B   33:04Okay, noted, sure. Got it. Okay, and one last question from my end. Sorry, we're spilling over 5 minutes, but I think you already answered this, but want to double, like, you know, ensure that we're talking. So you're saying that right now the conference page is free for all access, like one brand manager can view the information of another brand manager.But just want to like, you know, check so that we are thinking about it in a future manner that like, do you feel that is was a limitation of conference and therefore it was that way? Or like, do you not feel that might be a requirement? I'm saying basically role-based access would that not be like a requirement on the application?
Prateek Oberoi   33:43No, I don't think so because people can move within team, people can move within functions. So let's say if you are a PDM for product page today, it's possible that you might want to move to a...
Kaushik B   33:50Mm.No, no, I'm I know within within the pages I'm fine. Am I saying across brands because financial numbers and all are shared, right? So across like a BR, okay.
Prateek Oberoi   34:04No, no, no, it's no, no, because single product manager is responsible across all brands.We don't have different product managers for different brands. It's like 1 PDM responsible for that side section across all brands.
Kaushik B   34:10Ohh.
Athul Babu   34:12Ohh.
Kaushik B   34:18Okay, got it. Sure. Okay, that answered my question.Sure, and I talk across the hierarchy also, there's nothing like, like a junior person cannot see this information with respect to whatever is there. Okay.
Prateek Oberoi   34:29No, no, no. I think whatever we have in Confluence is open to everyone. Anyone with a GAP ID can access it.
Kaushik B   34:38Sure, okay, cool. I think that was some two questions from my end. I think we're good from my end. Sowmiya, I think you're also good. Anyone else, any questions?
Sowmiya S   34:45Yeah.
Athul Babu   34:47We probably will have some follow-up questions for the low priority ones, which will send over email with already the responses that we got from this call.
Kaushik B   34:48No.
Sowmiya S   34:48Okay.
Nilim Borah   34:48Thank you.
Prateek Oberoi   34:55Okay, alright, bye.
Athul Babu   34:56Also, as a follow-up, we definitely need those calls with the PMs and brand managers similar to this. So I think I praised this as well yesterday. We still haven't gotten a list. And because we don't have an ID, I can't find the time on their calendars as well. So.
Prateek Oberoi   35:11Okay, I will be connecting with Dave tomorrow morning, so I can like check with him if he has that list in mind, or if not, then we can just put together some names together and send it your way.
Athul Babu   35:16Sure.
Prateek Oberoi   35:27But give me time until tomorrow morning when I'm going to connect with him and then I can follow.
Athul Babu   35:33Sure, Pratik. Also, we want to kickstart the weekly business review with you folks. Probably we'll keep it at a biweekly basis. But tomorrow feels like a good time to start that. So I'll probably check with Adi if I have time on your calendar for tomorrow for the WBR.Is tomorrow a good time for you?
Prateek Oberoi   35:56Do you need just me or you need both me and Dave?
Athul Babu   35:59He probably you and David.
Prateek Oberoi   36:02Okay.
Kaushik B   36:06We can keep David optional if that's so be a challenge.
Prateek Oberoi   36:10No, I think Dave will be needed because I would definitely need his inputs too.I think...I mean, our calendar is open, but mostly in the afternoon, which will be very late for you, so...
Athul Babu   36:29Mhm.
Prateek Oberoi   36:30Maybe, and you need like 30 minutes.
Athul Babu   36:33Yeah, probably 30 minutes.
Prateek Oberoi   36:36Do you think Friday morning?Is doable, or it will be? Yeah, it will.
Athul Babu   36:39Ohh.Bye.It, I'm gonna check with, I'll check internally and see what the best time is.
Prateek Oberoi   36:48Yeah, yeah, because morning time I think we both have availability on Friday.
Athul Babu   36:53Okay.
Prateek Oberoi   36:55But if not, then Thursday.Afternoon, it will be late afternoon, like after 130.
Athul Babu   37:02Oh, sure. I'll check your calendars with Aditya and like let you know.
Prateek Oberoi   37:06Okay.
Athul Babu   37:07Also, just keep an eye out for any MFA emails that's coming your way.
Prateek Oberoi   37:12Yes, I will. I will. It hasn't come my way, but I'm going to ask again Dave tomorrow morning if he got a chance to approve those requests. And if not, then we'll just do it. And once I have those emails, I will send it your way.
Athul Babu   37:12Jha.Thank you so much. I know I'm pinging you a lot about this.
Prateek Oberoi   37:28No, no, all good. I know you need to get access to start working, so that's important. But it will happen. It will happen.
Kaushik B   37:38Thank you, Pratik.
Athul Babu   37:39Thanks, Deepak.
Nilim Borah   37:40Thank you.
Kaushik B   37:40Thanks to you a lot. I hope this 40 minutes was useful to you, but it was definitely useful for us. Good cause.
