Sl. no.,Area,Sub Area,Requirements,Justification,Specifications,Notes
24,GCP,Observability & Ops,Cloud Observability Suite,"Primary telemetry store: Cloud Logging + Monitoring + Trace + Profiler + Error Reporting. Collects logs from ingestion jobs, APIs, and RAG components; drives SLO dashboards, alerting, and finance/cost reporting (LLM token + model usage).","Cloud Logging (structured JSON from Cloud Run / Jobs) + Cloud Monitoring + Cloud Trace (OTel + ADK exporter) + Cloud Profiler + Error Reporting; log-based metrics for request_count / latency_p95 / model_id / llm_tokens_in/out; 30-day default retention; BigQuery is NOT used as a log sink (AR-5, 2026-05-25 architect review).",Replaces the earlier Pub/Sub -> BigQuery request_logs sink
25,GCP,Security & Networking,Certificate Manager,"Manage TLS certificates for secure HTTPS endpoints exposed by Cloud Run or load balancers, ensuring encrypted client access.","Managed certificates for Cloud Run custom domain (e.g., genai.gap.com); Google-managed cert via Certificate Manager + domain mapping on gap-genai-web.",
26,Tooling,Developer Productivity,GitHub Copilot,"Improve engineering productivity when implementing services, infrastructure as code, and data-processing logic.","GitHub Copilot Business, 4 seats (3 engineers + 1 lead).",Per-user licence
27,Tooling,Developer Productivity,Claude Code,"Assist with code generation, refactoring, and debugging for data pipelines, backends, and integration scripts.","Claude Code (Anthropic), 2 seats (lead engineer + senior dev).",Per-user licence
28,GCP,Networking,VPC + Serverless VPC Access connector,Optional in v2.4 — BigQuery is reached over public Google APIs with IAM auth, so no VPC connector is required for POC. Provision only if VPC-SC perimeter is added in Phase 2.,"Default VPC in gap-genai-poc with Private Google Access on. Serverless VPC Access connector is NOT provisioned for POC; reintroduce (genai-connector, e2-micro, /28 range, us-central1) only when locking BigQuery + Vertex into a VPC-SC perimeter.",Removed from Day-1 scope in v2.4
29,GCP,Identity & Access,IAM service accounts,"Enforce least-privilege per workload (orchestration, web, ingestion, log sink) and per user group.","4 service accounts: sa-orch, sa-web, sa-ingest, sa-logsink; 2 Google Groups: gap-genai-users@gap.com (run.invoker on web) and gap-genai-admins@gap.com (admin endpoints + config-bucket writer).",Added
30,GCP,Messaging,Pub/Sub,RETIRED at 2026-05-25 architect review — was previously used to decouple Cloud Logging from a BigQuery log sink; Observability Suite now keeps telemetry natively (AR-5). Kept only if a future use case requires it.,n/a (decommission planned),Retired — see AR-5
31,GCP,Identity,Google Workspace OAuth,Restrict access to gap.com domain users for the chatbot and dashboard.,Existing GAP Workspace tenant; OAuth 2.0 client (web) for the React app; hd=gap.com domain restriction; admin role granted via Google Group membership.,Reuse existing
32,GCP / Vertex AI,Conversation State & Memory,Vertex AI Agent Engine (Sessions + Memory Bank),"Managed per-session conversation store plus long-term cross-session user memory. Replaces what would otherwise have been conversation tables in the operational datastore.","Region us-central1; 1 Agent Engine resource gap-genai-agent; Sessions enabled with 90-day TTL keyed on session_id; Memory Bank enabled, scoped per Google Workspace email, LLM-curation on session close (Gemini 2.5 Pro); IAM roles/aiplatform.user on sa-orch; default request quota.",Added in v2.3 - replaces conversation tables
33,GCP / Vertex AI,Offline Evaluation,Vertex AI Evaluation Service + Vertex AI Experiments,"Managed eval pipeline that supports LLM-as-judge metrics and side-by-side track comparison (main RAG vs. Vectorless RAG Spike). Eval run summaries are projected back into BigQuery gap_genai_app.eval_runs_summary view for dashboard rollups.","Region us-central1; 1 Experiments project gap-genai-evals; built-in metrics groundedness / answer_relevance / coherence + 1 custom LLM-as-judge metric (citation_accuracy, judge = Gemini 2.5 Pro); golden eval set ~50 queries stored as rows in BigQuery gap_genai_app.golden_evals; trigger: CI on prompt/model_config change + weekly Cloud Scheduler run + on-demand admin endpoint.",Added in v2.3 - golden set in BigQuery (no GCS bucket)
